date,user_id,session_id,channel_grouping,campaign,source,medium,page_views,unique_page_views,avg_time_on_page,bounce_rate,transactions,transaction_revenue,conversion_rate
2023-05-15,b4d78d3c-a84c-49df-bef9-0eb7b3309087,58c419d5-abcd-4a81-886d-7629f6c9eed2,Social,New Year Deal,google,none,6,3,176.54110851121646,1,0,66.70613700675776,0
2023-10-05,5a00d4f4-5aea-4f33-b54d-69945e7aa5ce,c9e3dc73-90bb-4df9-aa6e-7aeb5c2d43a9,Organic Search,Summer Sale,google_search,organic,5,1,208.48809138563627,0,0,79.89430115933145,0
2023-03-30,22266800-7bf3-455f-9ea5-e594df1dda74,650b2f65-bce8-4e0e-a0b0-d8a45b8a4286,CPC,Summer Sale,google,none,8,1,127.28967415373796,1,1,53.71275693954827,0
2023-08-04,675e624d-cb55-4bee-b0ac-f9b509c51abb,03b85f04-d633-44a8-91ba-5d08222a9358,CPC,Summer Sale,direct,none,4,3,52.768312113957535,1,0,107.76324440095705,0
2023-10-12,c70049de-90d7-434a-b72e-d1a460e381e8,ee2b9a57-edc4-46d8-95e6-b29323bf996b,Paid Search,New Year Deal,google,cpc,5,2,269.25220185948336,0,1,104.47699145296349,0
2023-08-19,c1a74c03-4011-4b0c-b012-33596ebcfd08,874df685-6b9d-4586-bd2a-6aa8734086f1,Referral,New Year Deal,(direct),referral,2,3,270.1012351683444,0,1,0.0,0
2023-05-01,4bdca43b-f34b-44c3-be7d-1bff195dbb29,d25bed26-8455-4643-9b44-8f5464166c86,Referral,Summer Sale,(direct),referral,1,1,148.20068761526085,1,0,72.85301030629796,0
2023-04-08,531322cd-d4a2-4c73-90af-a97955db7c46,d0eee9d1-65dc-4856-896a-69e21ebc4d02,CPC,Holiday Special,bing,none,6,1,65.8802778590337,0,0,149.33006656218024,0
2023-09-23,d978c044-e459-43ed-89eb-199fb86e20ed,d122c07a-5c65-4066-8953-22db21b2076e,Referral,(not set),google,none,7,3,175.3661912325958,1,2,176.40177120107595,0
2023-06-29,0948d08e-8150-46d0-85a2-520214988d5b,e267e532-6f15-4d43-a3ab-02fd05343d49,Organic Search,Launch Promo,google_search,organic,3,3,10.0,0,1,145.14944820596543,0
2023-04-26,bf2bd373-4ef6-411a-81bd-834b437d836c,4458c4c9-933d-49c6-8bea-a8dbe9468b2d,Referral,New Year Deal,(direct),referral,10,2,257.92169017557916,0,0,179.68472971050957,0
2023-05-01,0f0ca089-b12e-4ee8-a95d-fb8746e44b67,52065a6c-0a49-4b53-9961-1fe4550f2646,Social,Launch Promo,facebook,social,1,1,234.37753713965196,0,2,81.56727316334889,0
2023-01-03,008123ea-b86c-4d8d-95f6-12bf5690e05c,2b6f260c-0811-4866-ace4-e38599d6ca5c,Paid Search,Black Friday,google,cpc,5,2,187.84863098256213,0,1,0.0,0
2023-01-20,8aadc101-22a4-4b61-9fa4-5de7839007a5,6e3b5488-dd16-4b43-9203-d63cb4b05867,Paid Search,Launch Promo,google,cpc,4,1,70.02836264342316,1,1,144.3853795945488,0
2023-07-23,207dd4eb-0f39-4397-940b-3d15535781af,3ea5b71e-f96b-4216-9673-de97f247477b,Paid Search,Launch Promo,google,cpc,9,3,241.36689239801407,0,0,197.63030394940546,1
2023-10-26,8b9030cc-44a0-4788-9e15-e85c08ef05ba,a322d348-8684-4054-99e9-98468e7bacef,Social,New Year Deal,facebook,social,8,4,144.9885596987262,0,0,72.45811011345077,0
2023-10-09,6a141a3b-722b-4bf7-989c-4df3ac091b48,c8b78302-a19e-49a4-aa97-d64d3a8f0619,Referral,New Year Deal,direct,none,5,1,124.17908144188885,1,0,0.0,0
2023-02-18,493fd2d1-1526-4214-ac00-990652a26c0d,c4291299-39cb-4c8e-9dc6-9bab5934cb18,Social,New Year Deal,facebook,social,6,2,198.941787133156,0,0,90.32060114498061,0
2023-02-20,b1aeb68c-3d96-4baa-a8f5-8337e8eef378,068d17cf-9967-4620-a7dc-43dfc4d15a13,Paid Search,(not set),google,cpc,2,4,97.49800742191265,0,1,242.8866931493376,0
2023-05-19,c1253aa4-4a1f-44c9-82ef-c5fb7adb62dd,c42b217e-69ff-4b74-84a3-253b83da016f,Social,Summer Sale,facebook,social,1,5,156.67811659644113,1,0,79.78499487099006,0
2023-04-27,72a451b5-4d00-4894-a321-b681ca1bd0a0,8bd14ce8-0ad6-401e-adb6-b5e5af36f715,Referral,New Year Deal,(direct),referral,4,1,141.22822416372605,1,0,182.4993293650858,0
2023-03-25,974d8a04-5736-4318-8c79-0e8ffc717ed5,e83cadc0-b259-4e3e-b06b-8d02d89c88e3,Social,(not set),facebook,social,5,3,107.70590109230625,1,0,209.1929542610455,0
2023-05-02,effe82e5-4dfd-40eb-943a-a808c74085f0,880a77a5-4087-415b-bc33-0c3021012cca,Organic Search,(not set),google_search,organic,8,1,10.0,1,0,374.43091191548024,0
2023-10-03,02ecadcd-ebd9-48ee-931e-ae2e04ddb25a,11b5dadb-c9ce-405b-95ae-cd8a48359fd4,Social,Summer Sale,facebook,social,8,3,85.34136892842471,1,1,0.0,0
2023-02-17,f6e27643-5325-40d5-a61a-f3327390c563,3f09e64e-8ffe-4e10-980e-31c385a1208c,Social,Black Friday,facebook,social,4,4,231.9932455049062,0,0,3.5999945255710912,0
2023-03-15,37a23e3a-6434-4cb8-bc64-471c6dd70ae0,a98a5b19-29c5-46a1-a033-a1db56a19e9a,Organic Search,Black Friday,google_search,organic,4,3,107.02853643372777,0,1,0.0,0
2023-11-26,54ba4764-5e07-4c03-b2f2-6bd026af62dc,145a9739-be42-4fe3-9b9d-d1b2fcd4e670,Referral,New Year Deal,(direct),referral,2,2,300.0,1,0,299.34176451583636,0
2023-09-20,c8878cd2-e730-4157-9db5-8c042509756b,32ce01cb-9ece-4201-bfa3-e0797c963aa6,Organic Search,Summer Sale,google_search,organic,1,3,286.03512462574344,0,0,93.06191131324903,0
2023-05-15,5ad60881-e1c2-450f-9ac6-026ea497b0d1,6e16ede0-ac31-4968-a747-abc1203a37e7,Paid Search,Launch Promo,google,cpc,1,3,140.55490626408448,0,0,20.15388070942535,0
2023-03-07,4d0fa2f8-5b9e-4d97-8e89-df6556b626d1,07997132-2491-4872-aeb0-18899ee77b66,Referral,New Year Deal,bing,none,10,4,184.4308355516453,1,1,169.30575185216964,0
2023-06-02,cfd7b63f-3357-4c69-99ad-6dcba91ad374,c662a089-cbec-42b5-8380-70038358407a,Social,New Year Deal,facebook,social,3,3,300.0,0,1,268.1841068278409,0
2023-05-08,22170ad2-1e32-4951-b6b9-fb81bc189c2b,2715a2a3-f26d-448b-8aae-76b4b8a7d376,Paid Search,(not set),google,cpc,3,3,128.92412426518513,0,0,92.91957022253678,0
2023-08-07,b3b25aeb-047f-404f-a6a1-a8178dd821e0,889e09c3-04c2-4c75-a9a0-a54162d70c43,Social,Summer Sale,bing,none,1,2,125.89153363942616,1,0,0.0,0
2023-08-07,53411dd9-d42c-4406-ac0b-0122e7e7a485,a53adafe-cb4b-4fa6-8258-83854509e883,Organic Search,New Year Deal,google_search,organic,7,2,145.98661310181438,1,0,103.95396449817231,0
2023-09-14,b076bd0b-98f7-4614-813e-ddf7ca8627da,f98ece14-fa9b-4ec4-86f2-7612c65c4ad5,Paid Search,Holiday Special,google,cpc,1,1,168.7083492597489,0,1,130.49767677793866,0
2023-06-18,0e8ab1fa-3659-4d64-9d56-0af06d466b7f,bf15082c-469c-48bc-9440-6e1635ff4ae0,Referral,Holiday Special,(direct),referral,4,2,110.24877418937662,1,1,163.36850376536287,1
2023-11-12,1b8fdeed-6c9b-4c7f-adc9-90b1ebfdfaa3,95957a39-b921-4a4e-a52e-91f7a3939e1b,Paid Search,New Year Deal,google,cpc,2,2,113.48964761246722,0,0,135.05979067076024,0
2023-04-15,cb90acfd-5796-4cbd-9c28-c05a56029a29,050fb980-7281-4a2a-8290-ec9debcadda2,Social,(not set),(direct),none,6,2,265.6867875342465,0,1,177.99906785256968,0
2023-09-19,4679d8e5-151b-4806-8754-8bfa310d722b,dd46b082-5a76-46e6-99d6-248329f22132,Organic Search,Holiday Special,google_search,organic,3,2,157.84041758897465,0,0,47.16824626521334,0
2023-06-10,d2dbbd15-ac74-4060-ba1b-4cd5a9260d3a,dbc563d4-675a-41b2-a5f8-5a119161e66d,Referral,Black Friday,bing,none,1,1,106.9927326180279,0,0,116.77084366734361,0
2023-03-31,f3eb74bb-1d74-49de-8648-e94e91b772be,27dbbf6d-3894-4786-9646-4cea164b5cc6,Referral,New Year Deal,(direct),referral,4,3,185.72299599401384,0,0,3.396082180813835,0
2023-06-22,4164d5d3-e32d-44fb-8bf2-186e52d06e61,0cc6096e-b5c3-4f68-b1cb-b7c39c19847f,Referral,Holiday Special,(direct),referral,6,1,181.91973212258173,1,2,292.1040747060915,0
2023-12-29,7ac98884-33fc-4e42-a1da-6d50a35a057b,ab05881a-fe1a-4540-98f5-115b96f7e424,Paid Search,Black Friday,google,cpc,5,3,107.95861948644573,1,1,340.9873876914618,0
2023-11-20,8ab1714c-01a3-4594-9f70-94199247681c,48bbade1-fbca-4bbe-bf9c-94452b968904,Direct,New Year Deal,direct,none,5,1,111.12294613828628,1,2,140.6330507869324,0
2023-04-09,51e9e519-8587-4fea-815a-a70dfef71570,dcf2f1fb-1b97-4757-88f1-a3b95ac36c9b,Social,New Year Deal,twitter,social,3,3,161.83019381861058,1,0,31.784452145233516,0
2023-07-22,c878e444-6ad9-4aec-b59d-98cc38f130a1,5985620b-05c0-46e7-8e68-6d70b9d73de3,Organic Search,Launch Promo,google_search,organic,4,3,166.68924438706298,0,0,40.39319337560029,0
2023-12-20,74b3a213-ba7c-4540-9ffa-4dbbff85c801,4645266b-cf7f-443d-8481-6bd365650fb2,Social,Launch Promo,facebook,social,3,3,273.9640066429905,1,0,55.10415253928335,0
2023-11-27,7a19ad11-bce1-400e-8e15-99bebe81ac21,644eba8d-3e04-4e46-ab53-f3683a610efc,Organic Search,Holiday Special,google,none,4,4,79.99740526017743,1,0,67.34079227797241,1
2023-10-01,6c366750-58c3-451b-b677-15ce382708ae,dee1d5b8-b17d-460b-80f3-7ae9ac853329,Organic Search,Black Friday,google_search,organic,2,3,110.07004942414308,1,0,265.8996543252921,0
2023-08-15,9a28980d-4a86-4d6b-aeaa-7ecec65f1ac6,450f85fd-e016-4a6e-b91f-578e9955437e,Social,Summer Sale,(direct),none,1,4,182.12888131761778,0,0,137.1144391251888,0
2023-02-22,be9b984a-219a-4c0d-8760-14ddca3cb9b0,d07b1e65-e487-45f8-a5a8-2a7393fe9d83,Social,(not set),facebook,social,5,4,189.570807727651,0,0,0.0,0
2023-06-10,b34255db-c21b-43a4-899f-6e659b69b1fb,31fe34e6-05f3-4fee-9ab9-80e61a4b67cf,Paid Search,Black Friday,google,cpc,4,1,10.0,1,2,0.0,0
2023-05-11,ef0a0052-0a9a-40bf-933d-ec0279eebeac,62d2aa03-c287-4b6a-97a6-3c7d6de3e57f,Organic Search,Black Friday,bing,none,1,4,174.00518451250844,0,0,80.88625738748757,0
2023-12-08,2a8e9ba4-45e1-4770-b416-32e950b29f5f,8501065b-c93c-47a4-a6e1-0fda63c17576,Social,Launch Promo,facebook,social,6,4,87.82619154712255,1,1,61.91716012367414,0
2023-10-13,9aa98743-21e1-4d2d-9953-ebb32354f185,c823864e-9011-4212-80d0-100e71a2bcd5,Paid Search,New Year Deal,google,cpc,2,1,216.85134063118252,0,1,130.23055329381282,0
2023-06-22,861af573-60e3-4adc-a96c-a6f8d77a2c6f,76cfeec1-e894-45ba-b171-c62cf4dae6de,Paid Search,(not set),bing,cpc,5,3,91.86079837762713,1,1,206.35662634429946,0
2023-06-22,1d512bf5-2afe-4f40-8926-b9b275d904dd,7e59c172-db8d-471a-b73a-9fd1b08a5e0a,Referral,Black Friday,(direct),referral,6,3,135.5719707708958,1,0,225.30515720141946,0
2023-05-15,c1833765-8eaa-417c-b298-ea1c4b102cdb,7274256a-fc20-4adc-a71d-d30925bde93e,Organic Search,Holiday Special,google_search,organic,5,1,166.87011358736072,0,0,286.8845274193125,0
2023-06-03,f366a523-f831-4812-ba4f-f87368b03bf8,59b99a74-5d0c-4b4a-94e6-e7cc60fd399b,Referral,(not set),twitter,none,7,1,177.41359516675277,0,0,0.0,0
2023-04-26,5a18305a-bf4a-4175-ad02-5e6050b6b944,7f3ea46f-05af-4e44-9e2b-01c1e32ff253,Direct,Launch Promo,direct,none,1,2,139.61366311536167,0,1,0.0,0
2023-01-10,8010d3f0-245d-4a6a-a4e9-5cd250d97b39,3353feac-4801-459d-a071-e3e64e5b867a,Social,(not set),facebook,social,6,2,127.08401443369848,0,1,180.7907856542771,0
2023-01-18,cc783c37-8636-4f6b-8391-5bfe55960498,141f725f-9274-419c-a324-7700fa78f791,Referral,Launch Promo,(direct),referral,3,1,81.37130966498012,1,2,192.24143244305532,0
2023-12-19,a8e64915-4c89-44e1-95ec-dd2c3daa9d26,bae84e30-b54e-45b7-99f0-0f2e0eb3f039,Social,New Year Deal,twitter,social,2,1,106.22983657088514,1,1,275.7560955309868,0
2023-12-01,8813f68e-2fd9-4733-a5b2-ec22f055d349,a5938172-7d73-406c-a20d-8bf3b8bea9cd,Social,New Year Deal,facebook,social,3,3,48.371761726677946,1,1,17.873477177972802,0
2023-06-07,b0c21957-7834-4d21-bbf8-c7ecfa3a96bb,e35c01cc-1db4-48fc-9fe2-9af267c3475a,Organic Search,Launch Promo,google_search,organic,4,4,273.4930227443325,0,0,190.66507992400548,0
2023-12-05,135436b3-b984-4242-83c3-435c464fe0c6,0dc416b7-cb99-4d41-8dc8-823531c21261,Organic Search,Summer Sale,google_search,organic,5,3,162.23422412641648,0,0,186.18872263671793,0
2023-12-26,a94fc455-a508-4eff-9a86-4f75cb4c7203,fbd9b2b2-485c-4717-8100-43fdbb83e82c,Paid Search,(not set),google,cpc,2,3,33.939673133023234,1,0,231.02818992309517,0
2023-01-01,655c6974-9da4-49f0-a1cd-7af973d66791,991b5f20-d768-42ab-b5b6-58571a5e2489,Organic Search,Holiday Special,google_search,organic,7,3,202.32822411990554,1,1,194.74714487275702,0
2023-10-11,137bfb31-edd5-484e-961e-f9096fc96b2d,fbcf4185-1df0-4498-bdaa-f95988f1314c,Paid Search,Launch Promo,google,cpc,6,5,33.20271718196388,0,1,244.86848123086637,0
2023-06-29,ab1c54a3-afa4-4aaf-8dca-ba2596e319cc,7543d64a-b36c-4c4a-8278-87d02778e789,Social,(not set),facebook,social,1,3,85.96238865350007,0,1,11.475781485300857,0
2023-07-10,903d528e-03b4-4e5d-b037-10d941e6800c,62497c31-55cd-4e8e-91f8-0d0902da05b1,Social,(not set),facebook,social,8,3,151.75897867893954,0,0,258.14889950033285,0
2023-11-03,4979137f-9244-455f-ac16-e1eeb4f6c5b0,47d7e8f5-f214-4008-99cb-0cb2ecb420ff,Organic Search,Holiday Special,google_search,organic,9,1,76.48268239366985,1,0,94.73943932303968,0
2023-02-08,65054996-a599-45c0-8486-633b8aea093d,a260157f-df87-4ef8-bce3-16055f067afb,Social,Launch Promo,facebook,social,8,4,133.99059370766653,1,2,102.41154961333476,0
2023-08-03,73906c16-72c2-4322-b04f-873ba33017a3,0fd7cd88-f568-43c3-9cef-4fc7d83605ce,Social,New Year Deal,twitter,social,4,5,191.3370899012606,0,0,130.61581702928282,1
2023-12-25,dc47341e-eb07-4bbf-98e9-b0eec28858be,03ffa235-3e52-4ae4-9db9-bf3cd04efbd2,Referral,Launch Promo,(direct),referral,2,1,11.696985232560792,0,0,167.21600282767926,1
2023-11-09,5c3207f8-195c-4422-aa28-d78f09f38b1c,09e954ee-ee8b-4e9e-a60c-f6154524b387,Paid Search,Holiday Special,google,cpc,7,4,272.9238005411263,1,0,217.56622252545117,0
2023-03-23,c58ef60d-baa1-4655-92f1-4b50187643f1,4c13aba7-6d4c-435f-a022-24c4c9469d31,Social,(not set),facebook,social,4,3,207.19455581983092,0,0,142.19612437357657,0
2023-06-15,12f66ebe-5ca8-49db-8c5a-1d24463b9f56,c6bf3a61-3a38-4b70-a7c1-d33c1479d83e,Referral,(not set),(direct),referral,8,3,104.34958236947428,1,0,309.5384582262525,0
2023-05-09,a1ffc7b9-c7dc-450d-9a29-d407ff7b9ed3,50f83523-0655-4dc2-978f-1078f09d6af2,Social,New Year Deal,twitter,social,5,1,300.0,1,2,186.2607121478742,0
2023-09-09,8880e299-a546-4f10-bb40-f68dd6e87049,e50c374e-25c6-42f6-9f26-488949a3a71b,Organic Search,Black Friday,google_search,organic,7,5,70.13814758519803,0,1,215.1461570586941,0
2023-10-18,0aba914b-2c5d-438a-87d0-a277d951a10b,98ecb190-e9c9-4678-8a64-b053f6fa487e,Organic Search,(not set),google_search,organic,5,2,235.91579030593942,0,1,0.0,0
2023-09-13,3e79bd84-d404-4bb2-acec-bde43d22c4da,44b1110b-0530-473e-9469-fa80db87a177,Organic Search,New Year Deal,google_search,organic,6,1,129.75351213869544,0,2,29.967100880326356,0
2023-06-23,79859bba-0049-4bcf-bbaa-3d7eaa9d4b32,cba5e8c7-5c31-434b-b201-0f41ff70d14e,Referral,Launch Promo,(direct),referral,5,5,300.0,1,0,46.66133479804823,0
2023-09-11,857f88f7-43bd-4755-bcbc-41f4924e4647,cd1b6b91-d05e-4b80-af27-1edded8608fa,Referral,Holiday Special,(direct),referral,9,3,180.10254045584622,0,1,143.8179042718397,0
2023-02-08,2c2a68a0-d730-4cd8-b438-5f90a1d8ad7f,35f987ce-bb65-47e9-b71e-d35a828fa6da,Paid Search,Launch Promo,bing,cpc,5,4,139.48481947594237,0,1,45.32208153342951,0
2023-03-13,bfeae8ba-62df-485e-891a-8bd2e51cfc38,49ea1d99-6ca9-4f13-8f5c-f1d1be1c65a8,Social,Holiday Special,facebook,social,6,2,142.36371629324805,0,0,0.0,0
2023-09-23,e73c8a53-6b23-49fb-9672-b1f584430f6c,a48671fb-850b-4e21-a656-f1f48d90814a,Referral,(not set),(direct),referral,9,2,146.8409721999644,1,1,141.76450883378425,0
2023-12-27,e2b85f8c-c210-40f0-8bad-14a02be7a939,9942bc98-9af1-4675-bd1e-2e6ab508d8a9,Referral,New Year Deal,(direct),referral,1,1,144.14366551883327,1,1,203.92817679303278,0
2023-08-13,ac4094e8-16aa-495f-8f9a-1113dddca1ae,ced16bfe-27fe-406d-9cc1-1a896439ccff,Paid Search,Summer Sale,google,cpc,1,1,128.94573118410665,1,0,0.0,0
2023-07-04,ec170773-96bd-46f2-8556-ef59e5d37666,4ca30992-545f-4141-a610-9bc29b81696d,Direct,Launch Promo,direct,none,7,3,122.1656593031788,1,2,236.26604431812265,0
2023-01-05,c474284c-dfb8-449a-bb0f-df89e82716a1,d5fc7043-fdbe-4fe8-b574-e266a0065c41,Social,(not set),facebook,social,2,1,106.27668167512869,0,0,89.63821914777085,0
2023-05-25,e7d24984-ed61-47ce-be8b-53eb55e6cde5,956ee1cd-324a-4b52-a91e-3c48bfa9f3b3,Referral,(not set),(direct),referral,10,2,154.03087246685268,1,0,143.38699801655423,1
2023-05-09,4864aa10-173d-4bea-9974-c84801d732ce,fa8b76c1-4b40-4365-9022-980224bca831,Organic Search,(not set),google_search,organic,3,3,173.9700751943323,0,2,136.65082374994384,0
2023-08-10,045b9ef2-2394-40ea-9563-ecd04569cab5,668e8f17-294f-45f5-85c3-68e9391097f6,Organic Search,Holiday Special,google_search,organic,3,4,202.9605616367911,0,0,206.17241996597218,0
2023-02-22,c5f5d970-d624-48d9-a3ae-ecfba9a1fbc5,e1fe1ee8-5b72-4cc4-882f-dd97424faf33,Paid Search,Holiday Special,google,cpc,10,3,170.47813549481393,0,0,104.16781821551618,0
2023-01-05,676b7954-6114-4487-94ed-db9c15612e66,3e54eca3-7f24-4ae3-8afc-4058ba6febb5,Social,Holiday Special,facebook,social,8,3,150.99271630612645,1,1,363.79248585274286,1
2023-08-17,18757fd8-2198-40fa-9b6a-6a0c94a6c416,c9c972be-da34-4b54-bff2-d8bb80e2f1a2,Organic Search,(not set),google_search,organic,9,2,121.08579004452288,1,0,14.414490637102645,0
2023-04-12,0035bdbc-fee1-49b1-ac0e-524087fa8824,da842065-8184-4b3f-ad83-9a635dd8e5a1,Referral,Launch Promo,(direct),referral,7,3,169.30805320953968,0,1,145.30270314410993,0
2023-02-27,9ffbede7-4191-4db9-a6f3-89c7d1d26c5e,ff4d1f39-5bc2-427f-a0b8-42429f767c4d,Referral,(not set),facebook,none,2,2,166.50105133772288,0,1,103.29558162667595,0
2023-01-03,c8a3b4c7-8da8-45e2-a9f3-d7ab32eaf745,69a386e3-0526-4a4f-8058-f08c1d18a468,Referral,Black Friday,(direct),referral,9,1,124.869991030845,0,0,137.63226633177533,0
2023-11-21,f98d7268-4fce-42fe-b3d7-5cb2a8aacaa0,eb51f718-c3f9-433a-a51e-49dc731aa242,Referral,Summer Sale,(direct),referral,4,4,233.50161544559933,0,2,0.0,0
2023-08-19,c2bb4824-1171-4280-85d8-182a3071b55c,3c3ac487-3d0d-4d6a-b63a-56412e9521f4,Paid Search,Holiday Special,bing,cpc,7,1,207.3744648060588,0,1,163.99604547886847,0
2023-04-21,84f6659a-4850-4554-92df-5d20a8652abf,3d9fd865-adc0-4db9-8d1b-ad0ff5c12d0d,Social,New Year Deal,(direct),none,7,1,101.10833327046086,1,0,205.7999541522802,0
2023-03-26,7d5aca66-9645-4f7b-a355-4a3fb917761c,e4b45398-07a4-4029-a90f-6f179d61b63f,Paid Search,Summer Sale,google,cpc,4,1,95.3535578041232,1,0,181.89707428071335,0
2023-07-13,72a891ed-fe6c-40aa-a762-91a56e736bf5,41c02944-dc5a-40af-af4c-77d7b48d116c,Paid Search,Launch Promo,google,cpc,6,1,110.12643825608569,1,0,249.30024707910047,0
2023-01-16,4590cdbd-c009-4e51-b025-99c109c29348,3cad63f1-b01f-4cb8-ac03-fba8a08a68d1,CPC,Black Friday,direct,none,7,5,155.7171422701138,0,1,42.367346257505204,0
2023-12-31,63532b24-f95b-4782-98a9-ede29ed02f9e,3d4b1d39-79c2-468d-99ed-a2b3e0b1eae0,Paid Search,New Year Deal,bing,cpc,6,3,89.89799816428334,1,1,91.91752785676877,0
2023-07-26,c464cf45-cab3-47ac-b58b-b5c4230727b0,5e4747b2-33fe-4465-835b-bbbc7a9e6361,Social,Summer Sale,facebook,none,2,1,138.07531810644798,0,0,211.63271212202847,0
2023-11-16,c1dcbe7e-2a37-46e5-a0e0-9ee173da8e66,bd50bf0b-5d37-4860-b34d-88a0ac68a028,Organic Search,(not set),google_search,organic,5,4,189.06785233209945,0,1,59.23231168369979,0
2023-03-10,d09e74da-f8ad-4822-9af8-bdd370c6a965,5d1ea41a-b50f-4623-bb1c-e87c41e15c21,Referral,(not set),(direct),referral,8,3,134.103449513231,1,0,1.9323480159475253,0
2023-07-24,9403f36e-bd3e-40e2-8c1c-c494b6746f18,b72c50e7-4971-4b75-9f14-06b3c5483d12,Social,Black Friday,facebook,social,3,1,168.14886776058165,1,1,83.39669061978458,0
2023-09-02,2f4710ec-ec80-4083-b491-f5ecdf114c5c,9886b68e-81f1-4945-81a7-7c69abec4969,Paid Search,Launch Promo,google,cpc,4,3,114.4507786191827,0,0,34.84832659710652,0
2023-04-15,66a4f181-5a52-4601-9ead-3068283e15c7,426a723d-bf9f-4cff-a095-618060a010e1,Direct,New Year Deal,bing,none,3,3,85.31735049509636,0,0,148.3650180455043,0
2023-03-26,f589cb5b-7518-4ada-a835-d7c47116b54a,3d406518-d648-4966-bcd7-cf918069d58d,Paid Search,New Year Deal,google,cpc,9,5,179.2492286917215,0,0,43.60314132275647,0
2023-04-12,c247d852-2f41-4cfd-9bff-f863f8f2611b,aa8c5250-6e7e-47e4-b5d2-55c4997ac369,Social,New Year Deal,facebook,social,6,2,19.198678505419196,1,2,210.54638041838123,0
2023-04-04,04215029-8570-42ca-adc9-49f4147eead6,c403b696-ca6a-4c50-929f-ea5f38cb5a25,Referral,Holiday Special,(direct),referral,6,2,300.0,0,1,225.98234482129087,0
2023-12-26,bde6fd87-ea8f-4d5f-8969-917a1b50ae67,abe14539-13b8-4976-bb75-ded5468c3fad,Paid Search,New Year Deal,bing,cpc,3,3,76.64849672172527,0,0,200.7415102037317,0
2023-08-08,69469919-c27e-44c4-b46c-e13e8d97667c,dea6c78d-60fc-479b-ae8b-cdcd16eb93c1,Social,Summer Sale,facebook,social,6,3,95.16567426144238,0,0,256.22512653304966,0
2023-04-30,0c9dd625-c043-4b83-8ab7-b17ac7ac378a,98517a7e-e2c2-4b25-9f3f-ade3817d7421,Social,(not set),facebook,social,3,1,130.97802593692973,1,0,187.77868247195116,0
